Category,Nominee 1 ,Nominee 2,Nominee 3,Nominee 4,Nominee 5
Best Motion Picture - Drama,Boyhood,The Imitation Game,Selma,Foxcatcher,The Theory of Everything
Best Motion Picture - Musical or Comedy,The Grand Budapest Hotel,Into the Woods,St. Vincent,Pride,Birdman
Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,Jennifer Aniston,Felicity Jones,Rosamund Pike,Reese Witherspoon
Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne,Steve Carell,Jake Gyllenhaal,Benedict Cumberbatch,David Oyelowo
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,Emily Blunt,Helen Mirren,Julianne Moore,Quvenzhane Wallis
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Keaton,Ralph Fiennes,Christoph Waltz,Bill Murray,Joaquin Phoenix
Best Performance by an Actress in a Supporting Role in any Motion Picture,Patricia Arquette,Emma Stone,Keira Knightley,Meryl Streep,Jessica Chastain
Best Performance by an Actor in a Supporting Role in any Motion Picture,J.K. Simmons,Edward Norton,Mark Ruffalo,Robert Duvall,Ethan Hawke
Best Director - Motion Picture,Richard Linklater,Alejandro Inarritu,David Fincher,Wes Anderson,Ava DuVernay
Best Screenplay - Motion Picture,Birdman,Boyhood,The Imitation Game,Gillian Flynn,The Grand Budapest Hotel
Best Motion Picture - Animated,How to Train Your Dragon 2,The Book of Life,The BoxTrolls,The LEGO Movie,Big Hero 6
Best Motion Picture - Foreign Language,Leviathan,Force Majeure,gett: the trial of viviane amsalem,Ida,Tangerines
Best Original Score - Motion Picture,The Theory of Everything,Gone Girl,Interstellar,Birdman,The Imitation Game
Best Original Song - Motion Picture,Selma,Big Eyes,The Hunger Games: Mockingjay - Part 1,Noah,Annie
Best Television Series - Drama,The Affair,The Good Wife,House of Cards,Downton Abbey,Game of Thrones
Best Television Series - Musical or Comedy,Transparent,Silicon Valley,Orange is the New Black,Girls,Jane The Virgin
Best Television Limited Series or Motion Picture Made for Television,Fargo,True Detective,The Normal Heart,Olive Kitteridge,The Missing
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Maggie Gyllenhaal,Allison Tolman,Frances McDormand,Jessica Lange,Frances O'Connor
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Billy Bob Thornton,Woody Harrelson,Matthew McConaughey,Mark Ruffalo,Martin Freeman
Best Performance by an Actress In A Television Series - Drama,Ruth Wilson,Julianna Margulies,Robin Wright,Claire Danes,Viola Davis
Best Performance by an Actor In A Television Series - Drama,Kevin Spacey,Dominic West,Liev Schreiber,James Spader,Clive Owen
Best Performance by an Actress in a Television Series - Musical or Comedy,Gina Rodriguez,Lena Dunham,Edie Falco,Julia Louis-Dreyfus,Taylor Schilling
Best Performance by an Actor in a Television Series - Musical or Comedy,Jeffrey Tambor,Ricky Gervais,Don Cheadle,Louis C.K.,William H. Macy
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joanne Froggatt,Uzo Aduba,Kathy Bates,Allison Janney,Michelle Monaghan
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Matt Bomer,Colin Hanks,Alan Cumming,Bill Murray,Jon Voight
