Category,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5
Best Motion Picture - Drama,Bohemian Rhapsody,A Star Is Born,Black Panther,BlacKkKlansman,If Beale Street Could Talk
Best Motion Picture - Musical or Comedy,Green Book,Crazy Rich Asians,The Favourite,Mary Poppins Returns,Vice
Best Performance by an Actress in a Motion Picture - Drama,Glenn Close,Lady Gaga,Nicole Kidman,Melissa McCarthy,Rosamund Pike
Best Performance by an Actor in a Motion Picture - Drama,Rami Malek,John David Washington,Bradley Cooper,Willem Dafoe,Lucas Hedges
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Colman,Charlize Theron,Constance Wu,Emily Blunt,Elsie Fisher
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christian Bale,Lin-Manuel Miranda,Viggo Mortensen,Robert Redford,John C. Reilly
Best Performance by an Actress in a Supporting Role in any Motion Picture,Regina King,Rachel Weisz,Amy Adams,Claire Foy,Emma Stone
Best Performance by an Actor in a Supporting Role in any Motion Picture,Mahershala Ali,Timothee Chalamet,Adam Driver,Richard E. Grant,Sam Rockwell
Best Director - Motion Picture,Alfonso Cuaron,Bradley Cooper,Peter Farrelly,Spike Lee,Adam McKay
Best Screenplay - Motion Picture,Green Book,Vice,Roma,The Favourite,If Beale Street Could Talk
Best Motion Picture - Animated,Spider-Man: Into the Spider-Verse,Incredibles 2,Isle of Dogs,Mirai,Ralph Breaks the Internet
Best Motion Picture - Foreign Language,Roma,Shoplifters,Capernaum,Girl,Never Look Away
Best Original Score - Motion Picture,First Man,A quiet place,Isle of Dogs,Black Panther,Mary Poppins Returns
Best Original Song - Motion Picture,A Star Is Born,Dumplin',A private war,Boy Erased,Black Panther
Best Television Series - Drama,The Americans,Bodyguard,Homecoming,Killing Eve,Pose
Best Television Series - Musical or Comedy,The Kominsky Method,The Good Place,Kidding,The Marvelous Mrs. Maisel,Barry
Best Television Limited Series or Motion Picture Made for Television,Assassination of Gianni Versace,Escape at Dannemora,Sharp Objects,A Very English Scandal,The Alienist
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Patricia Arquette,Amy Adams,Connie Britton,Laura Dern,Regina King
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Darren Criss,Daniel Bruhl,Benedict Cumberbatch,Hugh Grant,Antonio Banderas
Best Performance by an Actress In A Television Series - Drama,Sandra Oh,Caitriona Balfe,Elisabeth Moss,Julia Roberts,Keri Russell
Best Performance by an Actor In A Television Series - Drama,Richard Madden,Jason Bateman,Stephan James,Billy Porter,Matthew Rhys
Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Brosnahan,Kristen Bell,Candice Bergen,Alison Brie,Debra Messing
Best Performance by an Actor in a Television Series - Musical or Comedy,Michael Douglas,Jim Carrey,Donald Glover,Bill Hader,Sacha Baron Cohen
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Patricia Clarkson,Alex Borstein,Penelope Cruz,Thandie Newton,Yvonne Strahovski
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ben Whishaw,Edgar Ramirez,Henry Winkler,Alan Arkin,Kieran Culkin
