Category,Presenter 1 ,Presenter 2
Best Motion Picture - Drama,julia roberts,
Best Motion Picture - Musical or Comedy,dustin hoffman,
Best Performance by an Actress in a Motion Picture - Drama,george clooney,
Best Performance by an Actor in a Motion Picture - Drama,george clooney,
Best Performance by an Actress in a Motion Picture - Musical or Comedy,will ferrell,kristen wiig
Best Performance by an Actor in a Motion Picture - Musical or Comedy,jennifer garner,
Best Performance by an Actress in a Supporting Role in any Motion Picture,megan fox,jonah hill
Best Performance by an Actor in a Supporting Role in any Motion Picture,bradley cooper,kate hudson
Best Director - Motion Picture,halle berry,
Best Screenplay - Motion Picture,robert pattinson,amanda seyfried
Best Motion Picture - Animated,sacha baron cohen,
Best Motion Picture - Foreign Language,arnold schwarzenegger,sylvester stallone
Best Original Score - Motion Picture,jennifer lopez,jason statham
Best Original Song - Motion Picture,jennifer lopez,jason statham
Best Television Series - Drama,salma hayek,paul rudd
Best Television Series - Musical or Comedy,jimmy fallon,jay leno
Best Television Limited Series or Motion Picture Made for Television,don cheadle,eva longoria
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,don cheadle,eva longoria
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,jessica alba,kiefer sutherland
Best Performance by an Actress In A Television Series - Drama,nathan fillion,lea michele
Best Performance by an Actor In A Television Series - Drama,salma hayek,paul rudd
Best Performance by an Actress in a Television Series - Musical or Comedy,aziz ansari,jason bateman
Best Performance by an Actor in a Television Series - Musical or Comedy,lucy liu,debra messing
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",dennis quaid,kerry washington
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",kristen bell,john krasinski
Cecil b. demille award,"robert downey, jr",
