Category,Presenters 1,Presenters 2
Best Motion Picture - Drama,meryl streep,
Best Motion Picture - Musical or Comedy,"robert downey, jr.",
Best Performance by an Actress in a Motion Picture - Drama,matthew mcconaughey,
Best Performance by an Actor in a Motion Picture - Drama,gwyneth paltrow,
Best Performance by an Actress in a Motion Picture - Musical or Comedy,ricky gervais,
Best Performance by an Actor in a Motion Picture - Musical or Comedy,amy adams,
Best Performance by an Actress in a Supporting Role in any Motion Picture,jared leto,
Best Performance by an Actor in a Supporting Role in any Motion Picture,jennifer aniston,benedict cumberbatch
Best Director - Motion Picture,harrison ford,
Best Screenplay - Motion Picture,bill hader,kristen wiig
Best Motion Picture - Animated,kevin hart,salma hayek
Best Motion Picture - Foreign Language,colin farrell,lupita nyong'o
Best Original Score - Motion Picture,sienna miller,vince vaughn
Best Original Song - Motion Picture,prince,
Best Television Series - Drama,adam levine,paul rudd
Best Television Series - Musical or Comedy,bryan cranston,kerry washington
Best Television Limited Series or Motion Picture Made for Television,jennifer lopez,jeremy renner
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,kate beckinsale,adrien brody
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,jennifer lopez,jeremy renner
Best Performance by an Actress In A Television Series - Drama,anna faris,chris pratt
Best Performance by an Actor In A Television Series - Drama,david duchovny,katherine heigl
Best Performance by an Actress in a Television Series - Musical or Comedy,bryan cranston,kerry washington
Best Performance by an Actor in a Television Series - Musical or Comedy,jane fonda,lily tomlin
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",jamie dornan,dakota johnson
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",katie holmes,seth meyers
Cecil B. deMille Award,don cheadle,julianna margulies
