Categories,Winner
Best Motion Picture - Drama,Argo
Best Motion Picture - Musical or Comedy,Les Miserables
Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain
Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman
Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Hathaway
Best Performance by an Actor in a Supporting Role in any Motion Picture,Christoph Waltz
Best Director - Motion Picture,Ben Affleck
Best Screenplay - Motion Picture,Quentin Tarantino
Best Motion Picture - Animated,Brave
Best Motion Picture - Foreign Language,Amour
Best Original Score - Motion Picture,Life of Pi
Best Original Song - Motion Picture,Skyfall
Best Television Series - Drama,Homeland
Best Television Series - Musical or Comedy,Girls
Best Television Limited Series or Motion Picture Made for Television,Game Change
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Julianne Moore
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Costner
Best Performance by an Actress In A Television Series - Drama,Claire Danes
Best Performance by an Actor In A Television Series - Drama,Damian Lewis
Best Performance by an Actress in a Television Series - Musical or Comedy,Lena Dunham
Best Performance by an Actor in a Television Series - Musical or Comedy,Don Cheadle
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Maggie Smith
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ed Harris
Cecil B. deMille Award,Jodie Foster
