Category,Winner
Best Motion Picture - Drama,"Three Billboards Outside Ebbing, Missouri"
Best Motion Picture - Musical or Comedy,Lady Bird
Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand
Best Performance by an Actor in a Motion Picture - Drama,Gary Oldman
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Saoirse Ronan
Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Franco
Best Performance by an Actress in a Supporting Role in any Motion Picture,Allison Janney
Best Performance by an Actor in a Supporting Role in any Motion Picture,Sam Rockwell
Best Director - Motion Picture,Guillermo del Toro
Best Screenplay - Motion Picture,"Three Billboards Outside Ebbing, Missouri"
Best Motion Picture - Animated,Coco
Best Original Score - Motion Picture,Alexandra Desplat
Best Original Song,The Greatest Showman
Best Motion Picture - Foreign Language,In the Fade
Best Television Series - Drama,The Handmaid's Tale
Best Television Series - Musical or Comedy,The Marvelous Mrs. Maisel
Best Television Limited Series or Motion Picture Made for Television,Big Little Lies
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Nicole Kidman
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ewan McGregor
Best Performance by an Actress In A Television Series - Drama,Elisabeth Moss
Best Performance by an Actor In A Television Series - Drama,Sterling K. Brown
Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Brosnahan
Best Performance by an Actor in a Television Series - Musical or Comedy,Aziz Ansari
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Dern
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alexander Skarsgard
Cecil B. deMille Award,Oprah Winfrey
