Category,Winners
Best Motion Picture - Drama,Bohemian Rhapsody
Best Motion Picture - Musical or Comedy,Green Book
Best Performance by an Actress in a Motion Picture - Drama,Glenn Close
Best Performance by an Actor in a Motion Picture - Drama,Rami Malek
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Colman
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christian Bale
Best Performance by an Actress in a Supporting Role in any Motion Picture,Regina King
Best Performance by an Actor in a Supporting Role in any Motion Picture,Mahershala Ali
Best Director - Motion Picture,Alfonso Cuaron
Best Screenplay - Motion Picture,Green Book
Best Motion Picture - Animated,Spider-Man: Into the Spider-Verse
Best Motion Picture - Foreign Language,Roma
Best Original Score - Motion Picture,First Man
Best Original Song - Motion Picture,A Star Is Born
Best Television Series - Drama,The Americans
Best Television Series - Musical or Comedy,The Kominsky Method
Best Television Limited Series or Motion Picture Made for Television,Assassination of Gianni Versace
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Patricia Arquette
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Darren Criss
Best Performance by an Actress In A Television Series - Drama,Sandra Oh
Best Performance by an Actor In A Television Series - Drama,Richard Madden
Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Brosnahan
Best Performance by an Actor in a Television Series - Musical or Comedy,Michael Douglas
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Patricia Clarkson
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ben Whishaw
Cecil B. deMille Award,Jeff Bridges
,
